Qtr_JM,JM,BS_Section1,BS_Section2,BS_Section3,BS_Section4,BS_Ref,BS_Section5
2014/3/31,Judi Marlinski,純資産の部,株主資本,利益剰余金,利益準備金,0,0
2014/3/31,Judi Marlinski,純資産の部,株主資本,利益剰余金,その他利益剰余金,0,0
2014/3/31,Judi Marlinski,純資産の部,株主資本,利益剰余金,繰越利益剰余金,9171463,9171463
2014/3/31,Judi Marlinski,純資産の部,評価・換算差額等,その他有価証券評価差額金,,424499,424499
2015/03/31,Judi Marlinski,資産の部,流動資産,現金及び預金,,917291,917291
2015/03/31,Judi Marlinski,資産の部,流動資産,立替金,,142437,142437
2015/03/31,Judi Marlinski,資産の部,流動資産,前払費用,,96063,96063
2015/03/31,Judi Marlinski,資産の部,流動資産,未収委託者報酬,,5236010,5236010
2015/03/31,Judi Marlinski,資産の部,流動資産,未収運用受託報酬,,0,0
2015/03/31,Judi Marlinski,資産の部,流動資産,未収収益,,585000,585000
2015/03/31,Judi Marlinski,資産の部,流動資産,未収入金,,332396,332396
2015/03/31,Judi Marlinski,資産の部,流動資産,繰延税金資産,,708938,708938
2015/03/31,Judi Marlinski,資産の部,流動資産,未収還付法人税等,,0,0
2015/03/31,Judi Marlinski,資産の部,流動資産,未収還付消費税等,,0,0
2015/03/31,Judi Marlinski,資産の部,固定資産,有形固定資産,建設仮勘定,0,0
2015/03/31,Judi Marlinski,資産の部,固定資産,無形固定資産,電話加入権,7487,7487
2015/03/31,Judi Marlinski,資産の部,固定資産,投資その他の資産,長期貸付金,1622475,1622475
2015/03/31,Judi Marlinski,資産の部,固定資産,投資その他の資産,長期差入保証金,18857485,18857485
2015/03/31,Judi Marlinski,資産の部,固定資産,投資その他の資産,繰延税金資産,39163,39163
2015/03/31,Judi Marlinski,資産の部,固定資産,投資その他の資産,その他,11330,11330
2015/03/31,Judi Marlinski,負債の部,流動負債,預り金,,216345,-216345
2015/03/31,Judi Marlinski,負債の部,流動負債,未払金,未払手数料,2269889,-2269889
2015/03/31,Judi Marlinski,負債の部,流動負債,未払金,その他未払金,2592647,-2592647
2015/03/31,Judi Marlinski,負債の部,流動負債,未払費用,,526518,-526518
2015/03/31,Judi Marlinski,負債の部,流動負債,未払法人税等,,367845,-367845
2015/03/31,Judi Marlinski,負債の部,流動負債,未払消費税等,,1022900,-1022900
2015/03/31,Judi Marlinski,負債の部,流動負債,賞与引当金,,2067601,-2067601
2015/03/31,Judi Marlinski,負債の部,流動負債,その他流動負債,,196295,-196295
2015/03/31,Judi Marlinski,負債の部,固定負債,長期賞与引当金,,288258,-288258
